0     1     -0.75     -2.50
1     1     -0.255192081490954     -2.25
2     1     0.208851077208406     -2
3     1     0.5     -1.75
4     1     0.6     -1.5
5     1     0.7     -1.25
6     1     0.7     -1
7     1     0.7     -0.75
8     1     0.7     -0.5
9     1     0.7     -0.25
10     1     0.446944288207913     0
11     1     0.0133219841046633     0.25
12     1     -0.467759983880266     0.5
13     1     -0.966390269060217     0.75
14     1     -1.45156645537924     1
15     1     -1.89312263748469     1.25
16     1     -2.26360499061586     1.5
17     1     -2.53997871645717     1.75
18     1     -2.70506023533019     2
19     1     -2.74858557795076     2.25
20     1     -2.66784854932628     2.5
0     0     0.95     -2.5
1     0     1.24480791850905     -2.25
2     0     1.70885107720841     -2
3     0     2     -1.75
4     0     2.1     -1.5
5     0     2.1     -1.25
6     0     2.1     -1
7     0     2.1     -0.75
8     0     2.1     -0.5
9     0     2     -0.25
10     0     1.94694428820791     0
11     0     1.51332198410466     0.4
12     0     1.03224001611973     0.75
13     0     0.533609730939783     1
14     0     0.0484335446207603     1.2
15     0     -0.393122637484687     1.4
16     0     -0.763604990615856     1.5
17     0     -1.03997871645717     1.75
18     0     -1.2     2
19     0     -1.2     2.25
20     0     -1.16784854932628     2.5
